OID,file,path,latitude,longitude,timestamp,scanArea,pitch,roll,x,y,area,amaj,amin,dist,conf,class,UTMNO,UTMLE
49,G0017190.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017190.JPG,42.578231899972224,-129.92048119999998,2019-12-07 21:42:38,94885.42990249845,70.8066089968384,-4.002153973619844,424449.9831871653,4714439.674765878,2.6671935601276853,3.2268383923521204,0.9557472979435176,50.58907088862708,0.3972168,0.0,9,T
50,G0017192.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017192.JPG,42.5783064,-129.92042229999998,2019-12-07 21:42:48,108625.69106863352,69.66923593357279,-3.0016177825284385,424467.86050599616,4714449.401360039,3.4643012022101347,3.3979130446149277,1.0853478873860927,50.736937326406284,0.20593262,0.0,9,T
51,G0017407.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017407.JPG,32.190863999972215,-143.73244059997222,2019-12-02 22:02:12,273621.3397107547,70.29763322360476,-3.5102500326544e-15,242415.01926173797,3564889.9603137383,0.32373737716930573,1.0161038355137983,0.398219101372013,28.550866087006284,0.24914551,0.0,7,S
52,G0017407.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0017407.JPG,32.190863999972215,-143.73244059997222,2019-12-02 22:02:12,273621.3397107547,70.29763322360476,-3.5102500326544e-15,242415.7795069029,3564888.905498648,0.31280290872843175,0.9653748519796556,0.428136520225993,28.083287768373587,0.46362305,0.0,7,S
53,G0018130.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0018130.JPG,42.146563,-130.11208279997223,2019-11-23 19:23:08,125587.40293997483,71.7284237894701,2.001079618830059,408100.2977391195,4666676.394172738,0.1500456393307494,0.5719809163222843,0.3052129097206408,30.728491926164875,0.61279297,0.0,9,T
54,G0018191.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0018191.JPG,32.3744984,-143.6412224,2019-12-02 23:09:31,173568.6607209748,68.61279353209017,1.0005401387193622,251547.02796855866,3585089.82751066,11.407848883738748,7.286722033675742,1.9140857922797863,85.97939072217359,0.16723633,0.0,7,S
55,G0018191.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0018191.JPG,32.3744984,-143.6412224,2019-12-02 23:09:31,173568.6607209748,68.61279353209017,1.0005401387193622,251521.4668651344,3585054.4460576675,3.006966173319822,2.900183778985287,1.2954988208857716,42.7784939715724,0.5083008,0.0,7,S
56,G0019385.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019385.JPG,35.88986959997222,-137.93493069997223,2019-12-04 18:34:02,131630.79846703846,69.35675275331943,-2.001079618830066,235094.96832203076,3975754.3652537866,0.4943318958224615,1.1590106138184217,0.48521436380848654,44.56765837782141,0.2824707,0.0,8,S
57,G0019453.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019453.JPG,35.90548119997222,-137.92393909999998,2019-12-04 18:39:51,170287.92041448463,69.78549517108883,-1.000540138719369,236123.4580032435,3977450.137783154,2.9791370600626075,2.64545303355522,1.1628123139505975,34.48478763126265,0.7919922,0.0,8,S
58,G0019471.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019471.JPG,32.673990199972216,-143.4974014999722,2019-12-03 00:59:22,283295.85608163854,68.46627666286174,-3.5102500326544e-15,265825.6379644045,3617926.9284107396,0.39472853870525443,0.8473106299419544,0.560370519083169,25.393862819913004,0.5756836,0.0,7,S
59,G0019508.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019508.JPG,27.1167619,-144.98372529999997,2019-11-29 18:14:32,168246.95605901195,70.45113532332941,-1.000540138719369,699854.2066823267,3000996.3500326956,0.9168314119624003,1.4648069663772363,0.7356097203030224,26.486006088044473,0.10797119,0.0,6,R
60,G0019508.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019508.JPG,27.1167619,-144.98372529999997,2019-11-29 18:14:32,168246.95605901195,70.45113532332941,-1.000540138719369,699859.3595487907,3000999.0527521484,0.12554624256450828,0.43551876716606214,0.3131524964064051,28.069835333116103,0.11920166,0.0,6,R
61,G0019508.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019508.JPG,27.1167619,-144.98372529999997,2019-11-29 18:14:32,168246.95605901195,70.45113532332941,-1.000540138719369,699835.5199665087,3001013.901613233,1.2550602363140968,2.660258240621777,0.5463054313709664,50.470716318636406,0.17907715,0.0,6,R
62,G0019664.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019664.JPG,39.76093879997222,-134.57472379997222,2019-12-05 19:30:04,261527.8520914453,73.00947757575649,-3.5102500326544e-15,536409.5090424382,4401341.14755489,25.51989915026043,9.769414573692542,3.419007208178374,35.442829648020776,0.24816895,0.0,8,S
63,G0019664.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019664.JPG,39.76093879997222,-134.57472379997222,2019-12-05 19:30:04,261527.8520914453,73.00947757575649,-3.5102500326544e-15,536407.1334829347,4401373.566417484,3.18167536223321,2.927112601318324,1.2668773927761725,66.0953224391124,0.42504883,0.0,8,S
64,G0019677.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019677.JPG,32.721853,-143.4752602,2019-12-03 01:17:00,108922.04766902763,69.80499382504858,3.0016177825284314,267991.65151925443,3623204.9585503596,2.4295946937071813,5.297011230717735,0.49579866220897806,50.65712895854807,0.11328125,0.0,7,S
65,G0019677.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0019677.JPG,32.721853,-143.4752602,2019-12-03 01:17:00,108922.04766902763,69.80499382504858,3.0016177825284314,268034.4601924728,3623222.7114074463,3.563657943859676,4.47571732343919,0.8897229034658886,62.78711144225499,0.41235352,0.0,7,S
